id,campaign_name,channel,date,month,spend,impressions,clicks,leads,mqls,sqls,opportunities,proposals,contracts,revenue,customer_segment,industry,geography,service_category,campaign_type,campaign_objective,deal_value,sales_cycle_days
TCS-CMP-00001,OmniCommerce Edge - Healthcare,Tech Analyst Webinars,2026-03-23,2026-03,35688,50290,1379,76,42,20,9,6,2,6581440,Strategic Growth Accounts,Telecom & Media,APAC & Australia,Healthcare & Life Sciences Digital Labs,Digital Inbound,Brand Authority & MQLs,3290720,111
TCS-CMP-00002,Zero Trust Enterprise - BFSI,Account-Based Email,2026-03-19,2026-03,12928,38787,1801,185,131,75,55,43,20,209796060,Enterprise High-Value,Energy & Utilities,APAC & Australia,BFSI Core Modernization,Outbound ABM,Pipeline Generation,10489803,176
TCS-CMP-00003,BFSI Resiliency - BFSI,LinkedIn Enterprise,2026-08-18,2026-08,22916,65047,2114,197,103,63,38,29,9,78567273,Enterprise High-Value,Banking & Capital Markets,Nordics & Benelux,BFSI Core Modernization,Digital Inbound,Strategic Account Penetration,8729697,169
TCS-CMP-00004,Sustainable Tech Suite - Cognitive,Executive Events & Roundtables,2026-08-09,2026-08,91993,65330,1180,163,114,44,21,11,3,30687387,Strategic Growth Accounts,Healthcare & Life Sciences,Nordics & Benelux,Cognitive AI & Enterprise Automation,Experiential,Pipeline Generation,10229129,71
TCS-CMP-00005,Zero Trust Enterprise - Cognitive,Industry Display & Media,2025-11-21,2025-11,48343,244606,2311,78,34,11,5,2,1,1736539,Nurture / Mid-Market,Healthcare & Life Sciences,North America,Cognitive AI & Enterprise Automation,Digital Inbound,Strategic Account Penetration,1736539,91
TCS-CMP-00006,BFSI Resiliency - Cloud,Account-Based Email,2026-09-06,2026-09,10723,22981,882,65,53,27,19,16,9,35542593,Nurture / Mid-Market,Manufacturing & Auto,Europe & UK,Cloud & Infrastructure Transformation,Outbound ABM,Strategic Account Penetration,3949177,116
TCS-CMP-00007,OmniCommerce Edge - Retail,Tech Analyst Webinars,2026-06-20,2026-06,25124,47226,979,61,30,14,8,5,2,11973822,Enterprise High-Value,Banking & Capital Markets,APAC & Australia,Retail Omnichannel & Supply Chain,Digital Inbound,Strategic Account Penetration,5986911,182
TCS-CMP-00008,Global Horizon - Cognitive,Industry Display & Media,2026-05-22,2026-05,18003,77469,815,34,17,4,2,1,0,0,Enterprise High-Value,Energy & Utilities,India & Middle East,Cognitive AI & Enterprise Automation,Digital Inbound,Pipeline Generation,5067767,100
TCS-CMP-00009,OmniCommerce Edge - BFSI,LinkedIn Enterprise,2026-02-21,2026-02,58252,85801,2378,229,157,82,43,27,13,58422468,Nurture / Mid-Market,Manufacturing & Auto,Europe & UK,BFSI Core Modernization,Digital Inbound,Pipeline Generation,4494036,118
TCS-CMP-00010,BFSI Resiliency - BFSI,Account-Based Email,2025-12-06,2025-12,20956,39082,1654,162,118,71,39,29,14,67715144,Strategic Growth Accounts,Healthcare & Life Sciences,North America,BFSI Core Modernization,Outbound ABM,Strategic Account Penetration,4836796,53
TCS-CMP-00011,CyberShield 360 - Cyber,LinkedIn Enterprise,2025-11-07,2025-11,43852,67495,1598,174,93,43,30,21,8,50697720,Strategic Growth Accounts,Healthcare & Life Sciences,Europe & UK,Cyber Defense & Risk Governance,Digital Inbound,Pipeline Generation,6337215,52
TCS-CMP-00012,Q1 Cloud Scale - Retail,LinkedIn Enterprise,2026-07-05,2026-07,18007,32461,768,70,53,31,23,20,8,35967192,Nurture / Mid-Market,Manufacturing & Auto,Europe & UK,Retail Omnichannel & Supply Chain,Digital Inbound,Brand Authority & MQLs,4495899,113
TCS-CMP-00013,Q1 Cloud Scale - BFSI,LinkedIn Enterprise,2025-10-06,2025-10,53536,178853,3832,390,284,155,95,61,23,95927434,Nurture / Mid-Market,Retail & CPG,APAC & Australia,BFSI Core Modernization,Digital Inbound,Executive Engagement,4170758,64
TCS-CMP-00014,Life Sciences DataHub - Cognitive,Account-Based Email,2026-04-23,2026-04,24797,36339,1521,124,100,56,35,29,13,67326753,Strategic Growth Accounts,Telecom & Media,North America,Cognitive AI & Enterprise Automation,Outbound ABM,Strategic Account Penetration,5178981,132
TCS-CMP-00015,GenAI Catalyst - Cyber,Executive Events & Roundtables,2026-09-24,2026-09,130098,179670,2644,322,269,105,38,23,7,49957985,Nurture / Mid-Market,Manufacturing & Auto,North America,Cyber Defense & Risk Governance,Experiential,Strategic Account Penetration,7136855,90
TCS-CMP-00016,GenAI Catalyst - Healthcare,Executive Events & Roundtables,2026-06-09,2026-06,88642,77391,1118,126,76,22,11,6,1,3651492,Emerging Tier / High-CAC,Telecom & Media,Nordics & Benelux,Healthcare & Life Sciences Digital Labs,Experiential,Strategic Account Penetration,3651492,83
TCS-CMP-00017,NextGen CX - Cloud,Executive Events & Roundtables,2025-12-22,2025-12,121414,88620,1232,130,99,38,19,9,3,26417484,Strategic Growth Accounts,Telecom & Media,APAC & Australia,Cloud & Infrastructure Transformation,Experiential,Brand Authority & MQLs,8805828,45
TCS-CMP-00018,Sustainable Tech Suite - Cyber,Google Search,2026-08-22,2026-08,49306,91826,3386,311,151,75,46,29,8,36458160,Strategic Growth Accounts,Manufacturing & Auto,North America,Cyber Defense & Risk Governance,Digital Inbound,Pipeline Generation,4557270,135
TCS-CMP-00019,NextGen CX - Cognitive,Industry Display & Media,2026-02-05,2026-02,47028,295561,2953,111,47,14,6,2,0,0,Nurture / Mid-Market,Manufacturing & Auto,North America,Cognitive AI & Enterprise Automation,Digital Inbound,Executive Engagement,2191676,87
TCS-CMP-00020,Cognitive Ops 2.0 - Retail,Account-Based Email,2026-07-23,2026-07,21172,45607,2289,198,147,71,47,38,17,97176046,Strategic Growth Accounts,Manufacturing & Auto,Nordics & Benelux,Retail Omnichannel & Supply Chain,Outbound ABM,Brand Authority & MQLs,5716238,104
TCS-CMP-00021,CyberShield 360 - BFSI,Account-Based Email,2026-02-23,2026-02,13033,26300,1008,69,41,21,13,10,5,45268475,Enterprise High-Value,Healthcare & Life Sciences,India & Middle East,BFSI Core Modernization,Outbound ABM,Executive Engagement,9053695,204
TCS-CMP-00022,SAP S/4 Hana Accelerated - Retail,Executive Events & Roundtables,2026-02-02,2026-02,113996,86646,1058,99,71,28,11,5,1,18873849,Enterprise High-Value,Telecom & Media,India & Middle East,Retail Omnichannel & Supply Chain,Experiential,Pipeline Generation,18873849,195
TCS-CMP-00023,CyberShield 360 - Healthcare,LinkedIn Enterprise,2026-07-20,2026-07,46987,100906,2938,322,244,150,91,73,31,269074234,Enterprise High-Value,Telecom & Media,Nordics & Benelux,Healthcare & Life Sciences Digital Labs,Digital Inbound,Executive Engagement,8679814,206
TCS-CMP-00024,OmniCommerce Edge - Cloud,Account-Based Email,2026-01-15,2026-01,9440,33338,1236,93,66,34,22,14,6,10679910,Emerging Tier / High-CAC,Retail & CPG,India & Middle East,Cloud & Infrastructure Transformation,Outbound ABM,Brand Authority & MQLs,1779985,48
TCS-CMP-00025,Global Horizon - Healthcare,Executive Events & Roundtables,2026-04-15,2026-04,49692,56372,912,114,73,25,11,5,2,6480090,Emerging Tier / High-CAC,Telecom & Media,Europe & UK,Healthcare & Life Sciences Digital Labs,Experiential,Pipeline Generation,3240045,85
TCS-CMP-00026,Zero Trust Enterprise - Healthcare,Tech Analyst Webinars,2026-08-02,2026-08,37613,51923,998,64,38,17,9,6,2,2599160,Emerging Tier / High-CAC,Healthcare & Life Sciences,North America,Healthcare & Life Sciences Digital Labs,Digital Inbound,Strategic Account Penetration,1299580,59
TCS-CMP-00027,BFSI Resiliency - Cloud,Industry Display & Media,2025-11-08,2025-11,27908,195478,1581,51,21,5,2,1,0,0,Nurture / Mid-Market,Retail & CPG,Nordics & Benelux,Cloud & Infrastructure Transformation,Digital Inbound,Strategic Account Penetration,2102211,64
TCS-CMP-00028,CyberShield 360 - Healthcare,Account-Based Email,2025-10-18,2025-10,21596,34929,1545,154,106,48,27,21,11,86961446,Enterprise High-Value,Energy & Utilities,India & Middle East,Healthcare & Life Sciences Digital Labs,Outbound ABM,Pipeline Generation,7905586,142
TCS-CMP-00029,NextGen CX - Cyber,Executive Events & Roundtables,2025-11-17,2025-11,55873,76172,1426,189,145,42,20,10,3,16378443,Nurture / Mid-Market,Retail & CPG,Nordics & Benelux,Cyber Defense & Risk Governance,Experiential,Brand Authority & MQLs,5459481,59
TCS-CMP-00030,Cognitive Ops 2.0 - Retail,Industry Display & Media,2026-08-20,2026-08,29310,167280,1810,75,29,7,3,1,0,0,Strategic Growth Accounts,Banking & Capital Markets,APAC & Australia,Retail Omnichannel & Supply Chain,Digital Inbound,Executive Engagement,3066383,100
TCS-CMP-00031,CyberShield 360 - Cyber,Tech Analyst Webinars,2026-05-18,2026-05,24977,63772,1717,91,43,19,10,6,2,4069342,Nurture / Mid-Market,Manufacturing & Auto,Europe & UK,Cyber Defense & Risk Governance,Digital Inbound,Brand Authority & MQLs,2034671,106
TCS-CMP-00032,OmniCommerce Edge - Cyber,Executive Events & Roundtables,2026-09-14,2026-09,76756,67347,1085,147,101,32,15,9,3,10305819,Emerging Tier / High-CAC,Manufacturing & Auto,Europe & UK,Cyber Defense & Risk Governance,Experiential,Strategic Account Penetration,3435273,68
TCS-CMP-00033,OmniCommerce Edge - Cognitive,Industry Display & Media,2025-12-02,2025-12,34559,189003,1956,60,23,6,2,1,0,0,Strategic Growth Accounts,Manufacturing & Auto,APAC & Australia,Cognitive AI & Enterprise Automation,Digital Inbound,Executive Engagement,3009569,107
TCS-CMP-00034,SAP S/4 Hana Accelerated - Retail,LinkedIn Enterprise,2026-01-19,2026-01,26049,57905,1594,133,99,53,37,25,7,14465423,Emerging Tier / High-CAC,Healthcare & Life Sciences,Nordics & Benelux,Retail Omnichannel & Supply Chain,Digital Inbound,Executive Engagement,2066489,74
TCS-CMP-00035,OmniCommerce Edge - BFSI,LinkedIn Enterprise,2026-03-16,2026-03,28397,76066,1962,134,103,62,43,34,12,27781404,Emerging Tier / High-CAC,Retail & CPG,APAC & Australia,BFSI Core Modernization,Digital Inbound,Executive Engagement,2315117,135
TCS-CMP-00036,Zero Trust Enterprise - Cloud,Executive Events & Roundtables,2025-10-15,2025-10,84653,61474,1010,96,57,18,9,5,2,13449406,Nurture / Mid-Market,Manufacturing & Auto,India & Middle East,Cloud & Infrastructure Transformation,Experiential,Strategic Account Penetration,6724703,130
TCS-CMP-00037,BFSI Resiliency - Cyber,Google Search,2026-03-18,2026-03,54279,72662,2330,149,91,40,24,16,5,34963830,Enterprise High-Value,Telecom & Media,APAC & Australia,Cyber Defense & Risk Governance,Digital Inbound,Brand Authority & MQLs,6992766,90
TCS-CMP-00038,Zero Trust Enterprise - Cloud,Executive Events & Roundtables,2025-10-04,2025-10,86325,83088,1227,135,96,30,14,7,2,10668858,Nurture / Mid-Market,Retail & CPG,Europe & UK,Cloud & Infrastructure Transformation,Experiential,Pipeline Generation,5334429,141
TCS-CMP-00039,BFSI Resiliency - Cloud,Industry Display & Media,2025-10-08,2025-10,29349,142622,1463,56,20,6,3,1,0,0,Nurture / Mid-Market,Healthcare & Life Sciences,Europe & UK,Cloud & Infrastructure Transformation,Digital Inbound,Strategic Account Penetration,1876677,123
TCS-CMP-00040,GenAI Catalyst - Cyber,Account-Based Email,2026-04-01,2026-04,20760,37550,1341,121,95,49,29,22,9,87155883,Enterprise High-Value,Banking & Capital Markets,North America,Cyber Defense & Risk Governance,Outbound ABM,Brand Authority & MQLs,9683987,161
TCS-CMP-00041,BFSI Resiliency - Cyber,Google Search,2026-05-23,2026-05,62142,166722,7495,664,375,159,85,64,15,113324760,Enterprise High-Value,Manufacturing & Auto,Europe & UK,Cyber Defense & Risk Governance,Digital Inbound,Strategic Account Penetration,7554984,84
TCS-CMP-00042,Sustainable Tech Suite - Cloud,Google Search,2026-01-22,2026-01,35858,62177,2881,192,111,50,32,19,6,47565990,Enterprise High-Value,Retail & CPG,Europe & UK,Cloud & Infrastructure Transformation,Digital Inbound,Strategic Account Penetration,7927665,191
TCS-CMP-00043,Sustainable Tech Suite - Cloud,Account-Based Email,2026-05-28,2026-05,9934,14979,525,40,31,15,10,7,2,4381102,Emerging Tier / High-CAC,Telecom & Media,Nordics & Benelux,Cloud & Infrastructure Transformation,Outbound ABM,Executive Engagement,2190551,97
TCS-CMP-00044,NextGen CX - Cognitive,Google Search,2026-01-04,2026-01,71527,183209,8021,687,476,205,133,98,24,145079232,Enterprise High-Value,Energy & Utilities,North America,Cognitive AI & Enterprise Automation,Digital Inbound,Executive Engagement,6044968,127
TCS-CMP-00045,SAP S/4 Hana Accelerated - Healthcare,LinkedIn Enterprise,2026-06-17,2026-06,20781,37624,882,77,53,25,16,11,4,14003524,Nurture / Mid-Market,Banking & Capital Markets,India & Middle East,Healthcare & Life Sciences Digital Labs,Digital Inbound,Pipeline Generation,3500881,120
TCS-CMP-00046,Cognitive Ops 2.0 - Cyber,Google Search,2025-10-25,2025-10,60592,102141,4669,403,222,92,49,37,13,58687070,Strategic Growth Accounts,Telecom & Media,India & Middle East,Cyber Defense & Risk Governance,Digital Inbound,Pipeline Generation,4514390,88
TCS-CMP-00047,OmniCommerce Edge - Retail,Account-Based Email,2025-12-25,2025-12,14817,25617,990,105,66,34,24,17,7,13368733,Emerging Tier / High-CAC,Manufacturing & Auto,Nordics & Benelux,Retail Omnichannel & Supply Chain,Outbound ABM,Strategic Account Penetration,1909819,52
TCS-CMP-00048,BFSI Resiliency - Cognitive,Google Search,2026-04-02,2026-04,63517,161466,5255,376,211,103,57,41,13,49037365,Strategic Growth Accounts,Manufacturing & Auto,Nordics & Benelux,Cognitive AI & Enterprise Automation,Digital Inbound,Executive Engagement,3772105,130
TCS-CMP-00049,CyberShield 360 - Healthcare,LinkedIn Enterprise,2026-08-24,2026-08,57803,78295,2379,265,147,77,55,41,18,74752920,Nurture / Mid-Market,Retail & CPG,Nordics & Benelux,Healthcare & Life Sciences Digital Labs,Digital Inbound,Brand Authority & MQLs,4152940,73
TCS-CMP-00050,OmniCommerce Edge - Cyber,Tech Analyst Webinars,2026-07-28,2026-07,30325,64513,1447,100,44,16,7,4,1,5688428,Enterprise High-Value,Manufacturing & Auto,APAC & Australia,Cyber Defense & Risk Governance,Digital Inbound,Executive Engagement,5688428,99
TCS-CMP-00051,NextGen CX - Cyber,Tech Analyst Webinars,2025-12-10,2025-12,12442,19870,442,27,13,5,2,1,0,0,Nurture / Mid-Market,Telecom & Media,India & Middle East,Cyber Defense & Risk Governance,Digital Inbound,Strategic Account Penetration,2527559,66
TCS-CMP-00052,BFSI Resiliency - Cloud,Industry Display & Media,2026-02-22,2026-02,39320,148736,1669,55,23,6,3,1,0,0,Enterprise High-Value,Telecom & Media,Nordics & Benelux,Cloud & Infrastructure Transformation,Digital Inbound,Pipeline Generation,5604381,168
TCS-CMP-00053,NextGen CX - Cyber,Google Search,2026-08-16,2026-08,28983,48499,2025,126,70,32,21,16,6,40999176,Enterprise High-Value,Healthcare & Life Sciences,Europe & UK,Cyber Defense & Risk Governance,Digital Inbound,Brand Authority & MQLs,6833196,137
TCS-CMP-00054,Q1 Cloud Scale - Retail,Tech Analyst Webinars,2026-03-11,2026-03,20250,32198,663,34,21,7,3,2,0,0,Nurture / Mid-Market,Telecom & Media,Europe & UK,Retail Omnichannel & Supply Chain,Digital Inbound,Executive Engagement,2582798,125
TCS-CMP-00055,Global Horizon - Retail,Tech Analyst Webinars,2026-05-16,2026-05,17246,47214,863,64,27,13,6,3,1,5269020,Enterprise High-Value,Retail & CPG,Europe & UK,Retail Omnichannel & Supply Chain,Digital Inbound,Brand Authority & MQLs,5269020,146
TCS-CMP-00056,CyberShield 360 - Retail,Executive Events & Roundtables,2025-12-13,2025-12,46495,28631,442,64,50,21,11,5,1,10535639,Strategic Growth Accounts,Telecom & Media,Nordics & Benelux,Retail Omnichannel & Supply Chain,Experiential,Strategic Account Penetration,10535639,84
TCS-CMP-00057,OmniCommerce Edge - Cognitive,Google Search,2026-07-09,2026-07,41233,101764,3767,235,158,75,41,26,8,46195872,Enterprise High-Value,Energy & Utilities,APAC & Australia,Cognitive AI & Enterprise Automation,Digital Inbound,Strategic Account Penetration,5774484,107
TCS-CMP-00058,OmniCommerce Edge - Cloud,Industry Display & Media,2026-09-26,2026-09,25611,126747,928,31,11,3,1,1,0,0,Emerging Tier / High-CAC,Energy & Utilities,Europe & UK,Cloud & Infrastructure Transformation,Digital Inbound,Brand Authority & MQLs,1106716,135
TCS-CMP-00059,GenAI Catalyst - Retail,Industry Display & Media,2025-12-23,2025-12,18314,163463,1649,69,27,8,3,2,0,0,Strategic Growth Accounts,Banking & Capital Markets,North America,Retail Omnichannel & Supply Chain,Digital Inbound,Executive Engagement,3422789,71
TCS-CMP-00060,CyberShield 360 - Cognitive,Google Search,2025-11-18,2025-11,35390,75435,2533,170,82,31,20,13,3,23934081,Enterprise High-Value,Retail & CPG,Nordics & Benelux,Cognitive AI & Enterprise Automation,Digital Inbound,Brand Authority & MQLs,7978027,133
TCS-CMP-00061,NextGen CX - Cloud,Account-Based Email,2026-03-18,2026-03,14530,52573,1783,121,94,47,31,24,12,71922120,Strategic Growth Accounts,Manufacturing & Auto,Europe & UK,Cloud & Infrastructure Transformation,Outbound ABM,Pipeline Generation,5993510,131
TCS-CMP-00062,Sustainable Tech Suite - Retail,Industry Display & Media,2026-07-15,2026-07,20059,137401,1475,63,27,7,3,2,0,0,Strategic Growth Accounts,Manufacturing & Auto,APAC & Australia,Retail Omnichannel & Supply Chain,Digital Inbound,Strategic Account Penetration,3029237,137
TCS-CMP-00063,Q1 Cloud Scale - Retail,Executive Events & Roundtables,2026-05-28,2026-05,120052,109614,1603,158,131,47,21,10,3,11453946,Emerging Tier / High-CAC,Banking & Capital Markets,Europe & UK,Retail Omnichannel & Supply Chain,Experiential,Executive Engagement,3817982,112
TCS-CMP-00064,BFSI Resiliency - Healthcare,Industry Display & Media,2026-08-19,2026-08,45671,212500,1661,46,18,4,2,1,0,0,Strategic Growth Accounts,Telecom & Media,India & Middle East,Healthcare & Life Sciences Digital Labs,Digital Inbound,Strategic Account Penetration,3686532,75
TCS-CMP-00065,Sustainable Tech Suite - Cloud,Tech Analyst Webinars,2026-02-04,2026-02,19126,31502,625,38,23,10,6,4,1,2222197,Nurture / Mid-Market,Banking & Capital Markets,Europe & UK,Cloud & Infrastructure Transformation,Digital Inbound,Pipeline Generation,2222197,67
TCS-CMP-00066,Global Horizon - BFSI,Account-Based Email,2025-11-09,2025-11,23778,42258,1572,101,58,27,16,14,7,25184971,Nurture / Mid-Market,Retail & CPG,India & Middle East,BFSI Core Modernization,Outbound ABM,Executive Engagement,3597853,112
TCS-CMP-00067,Q1 Cloud Scale - Retail,Industry Display & Media,2026-02-13,2026-02,36586,153986,1656,49,17,5,2,1,0,0,Enterprise High-Value,Manufacturing & Auto,India & Middle East,Retail Omnichannel & Supply Chain,Digital Inbound,Executive Engagement,4418333,143
TCS-CMP-00068,GenAI Catalyst - Retail,Google Search,2026-09-09,2026-09,59743,100748,4699,315,201,97,63,48,17,130011087,Enterprise High-Value,Manufacturing & Auto,Europe & UK,Retail Omnichannel & Supply Chain,Digital Inbound,Brand Authority & MQLs,7647711,172
TCS-CMP-00069,GenAI Catalyst - Cognitive,Account-Based Email,2026-03-17,2026-03,23660,52499,2279,215,121,72,48,43,17,37203565,Emerging Tier / High-CAC,Retail & CPG,Europe & UK,Cognitive AI & Enterprise Automation,Outbound ABM,Pipeline Generation,2188445,114
TCS-CMP-00070,GenAI Catalyst - Cloud,Google Search,2025-11-03,2025-11,67382,149461,6337,495,308,130,61,38,16,26961168,Emerging Tier / High-CAC,Healthcare & Life Sciences,North America,Cloud & Infrastructure Transformation,Digital Inbound,Strategic Account Penetration,1685073,71
TCS-CMP-00071,Sustainable Tech Suite - Cyber,Account-Based Email,2025-11-05,2025-11,21124,38543,1802,151,99,47,26,23,12,108183012,Enterprise High-Value,Healthcare & Life Sciences,North America,Cyber Defense & Risk Governance,Outbound ABM,Strategic Account Penetration,9015251,113
TCS-CMP-00072,Zero Trust Enterprise - Cognitive,Tech Analyst Webinars,2026-08-02,2026-08,28034,89998,2194,156,76,33,17,10,3,3438744,Emerging Tier / High-CAC,Retail & CPG,North America,Cognitive AI & Enterprise Automation,Digital Inbound,Brand Authority & MQLs,1146248,56
TCS-CMP-00073,NextGen CX - Cyber,Executive Events & Roundtables,2026-06-14,2026-06,94478,107338,1366,131,83,32,16,9,2,10439316,Nurture / Mid-Market,Energy & Utilities,Nordics & Benelux,Cyber Defense & Risk Governance,Experiential,Pipeline Generation,5219658,110
TCS-CMP-00074,Q1 Cloud Scale - Cognitive,LinkedIn Enterprise,2026-05-17,2026-05,63690,117592,3587,349,240,146,105,85,41,354835279,Enterprise High-Value,Energy & Utilities,Europe & UK,Cognitive AI & Enterprise Automation,Digital Inbound,Executive Engagement,8654519,72
TCS-CMP-00075,Zero Trust Enterprise - Healthcare,Tech Analyst Webinars,2025-11-11,2025-11,13756,33375,698,54,26,9,5,3,1,3585072,Strategic Growth Accounts,Retail & CPG,North America,Healthcare & Life Sciences Digital Labs,Digital Inbound,Executive Engagement,3585072,76
TCS-CMP-00076,Zero Trust Enterprise - Healthcare,Account-Based Email,2025-10-02,2025-10,10830,18898,987,88,57,35,24,21,8,30498376,Nurture / Mid-Market,Banking & Capital Markets,Nordics & Benelux,Healthcare & Life Sciences Digital Labs,Outbound ABM,Brand Authority & MQLs,3812297,77
TCS-CMP-00077,OmniCommerce Edge - Cognitive,LinkedIn Enterprise,2026-06-24,2026-06,24233,74043,2253,212,156,71,39,23,8,30884048,Nurture / Mid-Market,Telecom & Media,Nordics & Benelux,Cognitive AI & Enterprise Automation,Digital Inbound,Pipeline Generation,3860506,73
TCS-CMP-00078,Q1 Cloud Scale - Retail,Google Search,2026-07-04,2026-07,35282,70634,2160,157,90,43,23,16,7,8865178,Emerging Tier / High-CAC,Retail & CPG,India & Middle East,Retail Omnichannel & Supply Chain,Digital Inbound,Brand Authority & MQLs,1266454,81
TCS-CMP-00079,BFSI Resiliency - Retail,Tech Analyst Webinars,2026-08-05,2026-08,32138,66846,1643,112,48,16,9,6,2,4992770,Nurture / Mid-Market,Retail & CPG,India & Middle East,Retail Omnichannel & Supply Chain,Digital Inbound,Strategic Account Penetration,2496385,110
TCS-CMP-00080,Zero Trust Enterprise - Cognitive,Executive Events & Roundtables,2026-06-03,2026-06,59004,49516,630,83,50,17,8,4,1,5924705,Nurture / Mid-Market,Retail & CPG,North America,Cognitive AI & Enterprise Automation,Experiential,Executive Engagement,5924705,53
TCS-CMP-00081,CyberShield 360 - Cognitive,Tech Analyst Webinars,2026-05-03,2026-05,37124,113440,2269,142,82,27,14,9,2,2489870,Emerging Tier / High-CAC,Retail & CPG,North America,Cognitive AI & Enterprise Automation,Digital Inbound,Brand Authority & MQLs,1244935,46
TCS-CMP-00082,CyberShield 360 - Cloud,LinkedIn Enterprise,2026-07-18,2026-07,20588,49213,1421,97,68,35,24,15,7,41906487,Strategic Growth Accounts,Manufacturing & Auto,Europe & UK,Cloud & Infrastructure Transformation,Digital Inbound,Executive Engagement,5986641,105
TCS-CMP-00083,CyberShield 360 - Healthcare,Google Search,2025-11-24,2025-11,53520,100595,3947,258,177,68,41,26,6,10323762,Emerging Tier / High-CAC,Banking & Capital Markets,Europe & UK,Healthcare & Life Sciences Digital Labs,Digital Inbound,Executive Engagement,1720627,57
TCS-CMP-00084,Life Sciences DataHub - Healthcare,Account-Based Email,2025-12-28,2025-12,16849,26054,908,59,47,27,18,14,8,63753624,Enterprise High-Value,Energy & Utilities,Nordics & Benelux,Healthcare & Life Sciences Digital Labs,Outbound ABM,Executive Engagement,7969203,110
TCS-CMP-00085,CyberShield 360 - Retail,LinkedIn Enterprise,2026-05-22,2026-05,42791,132112,3833,266,195,95,61,38,13,124160920,Enterprise High-Value,Banking & Capital Markets,India & Middle East,Retail Omnichannel & Supply Chain,Digital Inbound,Executive Engagement,9550840,139
TCS-CMP-00086,Cognitive Ops 2.0 - Healthcare,LinkedIn Enterprise,2026-09-26,2026-09,53960,126589,3271,360,272,138,87,62,30,313014690,Enterprise High-Value,Telecom & Media,Europe & UK,Healthcare & Life Sciences Digital Labs,Digital Inbound,Executive Engagement,10433823,67
TCS-CMP-00087,Zero Trust Enterprise - Cloud,LinkedIn Enterprise,2025-10-02,2025-10,19415,51962,1093,101,78,44,25,21,7,23911132,Nurture / Mid-Market,Telecom & Media,Europe & UK,Cloud & Infrastructure Transformation,Digital Inbound,Brand Authority & MQLs,3415876,72
TCS-CMP-00088,Q1 Cloud Scale - Cyber,LinkedIn Enterprise,2026-09-01,2026-09,21363,68688,2112,151,89,48,26,16,6,11614602,Emerging Tier / High-CAC,Manufacturing & Auto,Nordics & Benelux,Cyber Defense & Risk Governance,Digital Inbound,Executive Engagement,1935767,143
TCS-CMP-00089,BFSI Resiliency - Cognitive,Google Search,2026-06-20,2026-06,53392,82592,2563,171,97,48,31,19,5,24373275,Strategic Growth Accounts,Manufacturing & Auto,APAC & Australia,Cognitive AI & Enterprise Automation,Digital Inbound,Brand Authority & MQLs,4874655,51
TCS-CMP-00090,OmniCommerce Edge - Cloud,Executive Events & Roundtables,2026-07-14,2026-07,130237,162745,2410,264,177,67,28,18,6,23251506,Emerging Tier / High-CAC,Telecom & Media,North America,Cloud & Infrastructure Transformation,Experiential,Brand Authority & MQLs,3875251,112
